Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
documento necessário verificar,agendamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,documento necessário verificar,b-doc b-tempo b-atendimento,frustrar,cancelamento
encontrar informação consultar,encaminhamento,encontrar informação encaminhamento site,Informações,encontrar informação consultar,b-tempo b-serviço b-serviço,confuso,informação
haver agendar presencial,serviço x,horário serviço x 8h a o 18h,Informações,haver agendar presencial,b-atendimento,neutro,informação
agendar atendimento,serviço x,serviço x acer portal serviço,Informações,agendar atendimento,b-atendimento b-serviço b-atendimento,frustrar,informação
haver obter informação presencial,emergência,caso emergência dirijar se a o atendimento presencial,Informações,haver obter informação presencial,b-serviço b-tempo,urgente,informação
telefone obter informação,cancelamento,atendimento presencial,Contato,telefone obter informação,b-doc b-serviço b-atendimento,confuso,contato
preciso ajuda solicitar,emergência,emergência acer portal serviço,Documentação,preciso ajudar solicitar,b-doc b-serviço,frustrar,documentação
documento necessário verificar,encaminhamento,atendimento presencial,Emergência,documento necessário verificar,b-tempo b-doc b-atendimento,neutro,emergência
cancelar atendimento,serviço x,serviço x levar documento b.,Informações,cancelar atendimento,b-tempo b-serviço,urgente,informação
preciso ajuda agendar,emergência,caso emergência dirijar se a o atendimento presencial,Informações,preciso ajudar agendar,b-atendimento b-serviço,urgente,informação
documento necessário obter informação,contato,horário contato 8h a o 18h,Informações,documento necessário obter informação,b-tempo b-serviço b-atendimento b-serviço,confuso,informação
horário consultar,serviço y,serviço y acer portal serviço,Encaminhamento,horário consultar,b-tempo b-tempo,neutro,encaminhamento
caso emergência,agendamento,contato por o xx xxxx-xxxx,Contato,caso emergência,b-serviço b-atendimento b-doc,frustrar,contato
telefone obter informação,emergência,emergência levar documento b.,Contato,telefone obter informação,b-atendimento b-serviço b-tempo,neutro,contato
solicitar atendimento,emergência,contato por o xx xxxx-xxxx,Informações,solicitar atendimento,b-atendimento b-doc b-tempo,urgente,informação
horário obter informação,agendamento,precisar ajuda atendente a o disposição,Emergência,horário obter informação,b-serviço b-serviço b-atendimento,urgente,emergência
cancelar atendimento,cancelamento,cancelar contato por o portal,Cancelamento,cancelar atendimento,b-serviço b-doc,frustrar,cancelamento
cancelar atendimento,serviço y,cancelar contato por o portal,Contato,cancelar atendimento,b-serviço b-tempo,urgente,contato
agendar atendimento,serviço x,encontrar informação serviço x site,Encaminhamento,agendar atendimento,b-serviço b-doc b-atendimento,confuso,encaminhamento
agendar atendimento,agendamento,agendamento acer portal serviço,Cancelamento,agendar atendimento,b-doc b-doc b-tempo,confuso,cancelamento
encontrar informação verificar,encaminhamento,encontrar informação encaminhamento site,Contato,encontrar informação verificar,b-serviço b-serviço b-doc,neutro,contato
documento necessário consultar,contato,contato disponível em o unidade,Informações,documento necessário consultar,b-doc b-tempo b-serviço,neutro,informação
horário agendar,serviço x,contato por o xx xxxx-xxxx,Encaminhamento,horário agendar,b-atendimento b-tempo,neutro,encaminhamento
preciso ajuda obter informação,serviço x,contato por o xx xxxx-xxxx,Contato,preciso ajudar obter informação,b-tempo b-doc b-doc,frustrar,contato
haver obter informação presencial,serviço y,horário serviço y 8h a o 18h,Informações,haver obter informação presencial,b-doc b-doc,urgente,informação
caso emergência,cancelamento,encontrar informação cancelamento site,Encaminhamento,caso emergência,b-doc b-doc b-doc,confuso,encaminhamento
encontrar informação solicitar,emergência,emergência disponível em o unidade,Emergência,encontrar informação solicitar,b-doc b-serviço b-doc,neutro,emergência
documento necessário consultar,informação,atendimento presencial,Contato,documento necessário consultar,b-atendimento b-doc b-serviço,frustrar,contato
cancelar atendimento,contato,contato acer portal serviço,Encaminhamento,cancelar atendimento,b-atendimento b-tempo,neutro,encaminhamento
cancelar atendimento,emergência,emergência disponível em o unidade,Contato,cancelar atendimento,b-serviço b-doc,neutro,contato
encontrar informação agendar,informação,informação disponível em o unidade,Documentação,encontrar informação agendar,b-atendimento b-serviço b-serviço,frustrar,documentação
obter informação cadastrar,contato,contato disponível em o unidade,Encaminhamento,obter informação cadastrar,b-serviço b-tempo,frustrar,encaminhamento
preciso ajuda verificar,contato,contato disponível em o unidade,Documentação,preciso ajudar verificar,b-serviço b-atendimento,neutro,documentação
consultar atendimento,informação,caso emergência dirijar se a o atendimento presencial,Documentação,consultar atendimento,b-atendimento b-tempo b-serviço,urgente,documentação
horário solicitar,cancelamento,cancelamento levar documento b.,Contato,horário solicitar,b-serviço b-doc,neutro,contato
haver obter informação presencial,cancelamento,cancelamento levar documento b.,Cancelamento,haver obter informação presencial,b-tempo b-doc,neutro,cancelamento
consultar atendimento,encaminhamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,consultar atendimento,b-serviço b-atendimento b-serviço,urgente,encaminhamento
documento necessário cadastrar,serviço y,serviço y disponível em o unidade,Cancelamento,documento necessário cadastrar,b-atendimento b-serviço b-atendimento,neutro,cancelamento
telefone obter informação,emergência,emergência levar documento b.,Informações,telefone obter informação,b-tempo b-tempo b-tempo,urgente,informação
telefone cadastrar,serviço y,atendimento presencial,Encaminhamento,telefone cadastrar,b-doc b-atendimento,confuso,encaminhamento
horário solicitar,serviço x,serviço x levar documento b.,Encaminhamento,horário solicitar,b-tempo b-serviço,neutro,encaminhamento
haver consultar presencial,serviço y,horário serviço y 8h a o 18h,Encaminhamento,haver consultar presencial,b-doc,confuso,encaminhamento
haver agendar presencial,emergência,emergência disponível em o unidade,Informações,haver agendar presencial,b-doc,confuso,informação
haver verificar presencial,encaminhamento,encontrar informação encaminhamento site,Encaminhamento,haver verificar presencial,b-serviço,frustrar,encaminhamento
cancelar atendimento,agendamento,contato por o xx xxxx-xxxx,Cancelamento,cancelar atendimento,b-serviço b-atendimento,neutro,cancelamento
telefone solicitar,emergência,encontrar informação emergência site,Emergência,telefone solicitar,b-doc b-serviço,neutro,emergência
telefone agendar,cancelamento,atendimento presencial,Contato,telefone agendar,b-serviço b-serviço,frustrar,contato
horário obter informação,encaminhamento,cancelar contato por o portal,Informações,horário obter informação,b-serviço b-doc b-tempo,neutro,informação
horário solicitar,serviço x,atendimento presencial,Contato,horário solicitar,b-tempo b-atendimento,confuso,contato
documento necessário obter informação,cancelamento,cancelamento levar documento b.,Cancelamento,documento necessário obter informação,b-atendimento b-tempo b-doc b-tempo,neutro,cancelamento
preciso ajuda obter informação,serviço y,serviço y acer portal serviço,Informações,preciso ajudar obter informação,b-doc b-serviço b-doc,frustrar,informação
caso emergência,contato,atendimento presencial,Informações,caso emergência,b-tempo b-tempo b-atendimento,neutro,informação
obter informação consultar,agendamento,cancelar contato por o portal,Encaminhamento,obter informação consultar,b-atendimento b-atendimento,frustrar,encaminhamento
telefone agendar,encaminhamento,encontrar informação encaminhamento site,Informações,telefone agendar,b-serviço b-doc,confuso,informação
encontrar informação obter informação,serviço y,atendimento presencial,Contato,encontrar informação obter informação,b-doc b-serviço b-tempo b-doc,neutro,contato
preciso ajuda cadastrar,contato,encontrar informação contato site,Informações,preciso ajudar cadastrar,b-doc b-tempo,neutro,informação
obter informação solicitar,serviço x,atendimento presencial,Emergência,obter informação solicitar,b-atendimento b-tempo,neutro,emergência
obter informação atendimento,informação,informação levar documento b.,Cancelamento,obter informação atendimento,b-doc b-atendimento b-atendimento b-doc,confuso,cancelamento
caso emergência,informação,atendimento presencial,Encaminhamento,caso emergência,b-doc b-atendimento b-atendimento,neutro,encaminhamento
agendar atendimento,informação,informação acer portal serviço,Contato,agendar atendimento,b-atendimento b-atendimento b-doc,neutro,contato
cancelar atendimento,serviço y,atendimento presencial,Informações,cancelar atendimento,b-doc b-atendimento,urgente,informação
caso emergência,emergência,caso emergência dirijar se a o atendimento presencial,Encaminhamento,caso emergência,b-doc b-tempo b-atendimento,frustrar,encaminhamento
cancelar atendimento,emergência,contato por o xx xxxx-xxxx,Emergência,cancelar atendimento,b-doc b-atendimento,frustrar,emergência
cadastrar atendimento,encaminhamento,atendimento presencial,Contato,cadastrar atendimento,b-doc b-doc b-doc,neutro,contato
cancelar atendimento,encaminhamento,precisar ajuda atendente a o disposição,Cancelamento,cancelar atendimento,b-tempo b-serviço,frustrar,cancelamento
preciso ajuda cadastrar,serviço x,atendimento presencial,Contato,preciso ajudar cadastrar,b-doc b-doc,neutro,contato
encontrar informação verificar,contato,cancelar contato por o portal,Emergência,encontrar informação verificar,b-doc b-atendimento b-doc,confuso,emergência
telefone cadastrar,agendamento,precisar ajuda atendente a o disposição,Emergência,telefone cadastrar,b-doc b-serviço,neutro,emergência
obter informação cadastrar,agendamento,cancelar contato por o portal,Contato,obter informação cadastrar,b-serviço b-atendimento,neutro,contato
horário obter informação,contato,caso emergência dirijar se a o atendimento presencial,Emergência,horário obter informação,b-doc b-serviço b-atendimento,frustrar,emergência
